 Nseed      iq         dt[nsec]         dW[MeV/u]           x[cm]           x'[mrad]            y[cm]           y'[mrad]  
      0      1      -0.46275E+01       0.46343E-03       0.14102E+01       0.58814E+01       0.67612E+00       0.12057E+02
      0      1      -0.18371E+01       0.31142E-03       0.45901E+00       0.36754E+01       0.10522E+01       0.99299E+01
      0      1       0.34328E+01      -0.30381E-03       0.47983E+00       0.87959E+01       0.15402E+01       0.14755E+02
      0      1       0.50607E+01      -0.26492E-03      -0.14038E+01      -0.66706E+01      -0.11643E+01      -0.12673E+02
      0      1       0.27337E+00       0.65340E-04      -0.16158E+01      -0.13556E+02       0.39538E-01      -0.53163E+01
      0      1      -0.27255E+01       0.23793E-03       0.16539E+01       0.15276E+02      -0.52033E+00       0.34362E+01
      0      1       0.39219E+01      -0.27055E-03       0.36631E+00      -0.31786E+01       0.18822E+01       0.18624E+02
      0      1       0.12213E+01      -0.39226E-03      -0.11762E+01      -0.36062E+01      -0.58738E+00      -0.27456E+01
      0      1      -0.25386E+01       0.26758E-03      -0.12118E+00      -0.40180E+01      -0.95799E+00      -0.20600E+01
      0      1      -0.62457E+00      -0.13157E-03       0.90356E+00       0.10108E+02       0.19542E+01       0.20310E+02
      0      1      -0.92031E+00      -0.44804E-04      -0.24511E+00       0.55034E+01      -0.23962E+00       0.78149E+00
      0      1      -0.40055E+01       0.33181E-03      -0.58069E+00      -0.45399E+01       0.61238E+00       0.79030E+01
      0      1      -0.35331E+01       0.28882E-03      -0.13113E+01      -0.10507E+02       0.54737E+00       0.11557E+02
      0      1       0.34479E+00      -0.37181E-04       0.35961E+00       0.33009E+01       0.46215E+00      -0.21289E+01
      0      1       0.32267E+01      -0.44329E-03       0.92052E-01      -0.86572E+00       0.35577E+00       0.22468E+01
      0      1       0.60285E+00      -0.14839E-03       0.19056E+01       0.19714E+02      -0.30874E+00      -0.40229E+01
      0      1      -0.10141E+01       0.10452E-03      -0.12465E+01      -0.12228E+02      -0.48225E+00      -0.10807E+02
      0      1      -0.46351E+01       0.47598E-03       0.77302E+00       0.96385E-01       0.15776E+01       0.10510E+02
      0      1       0.40409E+01      -0.41278E-03      -0.17937E+01      -0.17794E+02      -0.39655E+00       0.36215E+01
      0      1      -0.25703E+01       0.18075E-03      -0.51049E+00      -0.48985E+01      -0.22379E+00      -0.99105E+01
      0      1      -0.37303E+01       0.27353E-03       0.45738E+00      -0.15799E+01      -0.14228E+01      -0.91363E+01
      0      1       0.39754E+01      -0.39826E-03       0.96933E+00      -0.13276E+01      -0.11145E+01      -0.60207E+01
      0      1       0.38788E+01      -0.32942E-03       0.70018E+00       0.36900E+01       0.23578E+00      -0.42892E+01
      0      1       0.19777E+01      -0.29751E-03       0.16769E+01       0.17379E+02       0.48171E+00       0.47858E+01
      0      1       0.29135E+01      -0.18327E-03      -0.81082E+00      -0.46475E+00      -0.88640E+00      -0.73328E+01
      0      1       0.12616E+01      -0.41196E-04      -0.13378E+01      -0.88634E+01       0.95513E+00       0.18893E+00
      0      1       0.34525E+01      -0.22511E-03       0.15806E+01       0.93758E+01      -0.33852E+00      -0.39172E+00
      0      1       0.49713E+01      -0.37030E-03      -0.91894E+00      -0.10819E+02      -0.59335E+00      -0.52870E+01
      0      1      -0.26767E+01       0.44760E-03       0.26095E+00      -0.37863E+01       0.61267E+00      -0.31153E+00
      0      1      -0.37962E+01       0.44504E-03      -0.38095E+00       0.28184E+01       0.12111E+01       0.82974E+01
      0      1       0.46806E+01      -0.32906E-03       0.14421E+01       0.78068E+01      -0.16416E+01      -0.13702E+02
      0      1      -0.16585E+01       0.28326E-03      -0.34986E+00      -0.96469E+00       0.12371E+01       0.98526E+01
      0      1       0.34183E+01      -0.26870E-04      -0.98234E+00      -0.74040E+01      -0.54683E+00      -0.39925E+01
      0      1      -0.10347E+01       0.25456E-03       0.48905E+00       0.75759E+01      -0.12140E+00      -0.20098E+01
      0      1       0.37713E+00      -0.35093E-04      -0.12951E+01      -0.79345E+01      -0.11319E+01      -0.14805E+02
      0      1      -0.19966E+01      -0.43236E-04       0.11941E+01       0.96049E+01       0.11882E+01       0.44923E+01
      0      1      -0.36091E+01       0.19834E-03       0.15977E+01       0.11982E+02      -0.18239E+00      -0.75091E+01
      0      1       0.38450E+01      -0.31084E-03       0.12971E+01       0.14287E+02      -0.17402E+01      -0.15338E+02
      0      1       0.81315E+00       0.16459E-03       0.14838E+01       0.16986E+02       0.75185E+00       0.32914E+01
      0      1      -0.15210E-01      -0.13685E-04       0.13853E+01       0.83025E+01      -0.15779E+01      -0.11672E+02
      0      1       0.19418E+01      -0.18488E-03      -0.31145E+00       0.40282E+01      -0.13671E+01      -0.71955E+01
      0      1      -0.15035E+01       0.40648E-03       0.97837E+00       0.14002E+01       0.77640E+00       0.61451E+01
      0      1      -0.23334E+01      -0.51918E-04       0.42136E+00      -0.84366E+00      -0.11217E+00       0.21607E+01
      0      1       0.61466E+01      -0.39908E-03       0.45097E+00      -0.17612E+01      -0.52694E+00      -0.52291E+00
      0      1      -0.26057E+01       0.37518E-03      -0.75547E+00      -0.85045E+01       0.85641E+00       0.47851E+01
      0      1      -0.31508E+01       0.74814E-04      -0.26909E+00       0.16704E+01       0.10304E+01       0.41507E+01
      0      1       0.54762E+01      -0.47171E-03       0.12262E+01       0.14388E+02      -0.54280E-01      -0.62480E+01
      0      1      -0.10958E+01       0.39876E-03       0.67421E+00       0.48865E+01       0.70211E+00       0.76846E+01
      0      1       0.37669E+01      -0.33934E-03      -0.10148E+01      -0.11181E+02      -0.15024E+00       0.30044E+00
